child_name,filename,speaker,source,model_name,model_type,n_attested_nouns,tpr_the,tpr_a,tpr_overall,n_transitions_to_the,n_transitions_to_a,n_previous_a,n_previous_the,n_maintained,n_total
Gail,020806.cha,child,human,Human,baseline,5,1.0,0.5,0.6666666666666666,1,1,1,2,1,3
Gail,020806.cha,mother,human,Human,baseline,5,0.0,0.6666666666666666,0.4,0,2,2,3,3,5
Gail,020806.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020813.cha,child,human,Human,baseline,5,,0.0,0.0,0,0,0,1,1,1
Gail,020813.cha,mother,human,Human,baseline,5,1.0,0.0,0.5,1,0,1,1,1,2
Gail,020813.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,021112.cha,child,human,Human,baseline,6,0.0,,0.0,0,0,3,0,3,3
Gail,021112.cha,mother,human,Human,baseline,6,0.3333333333333333,,0.3333333333333333,1,0,3,0,2,3
Gail,021112.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,020623.cha,child,human,Human,baseline,2,0.5,,0.5,1,0,2,0,1,2
Gail,020623.cha,mother,human,Human,baseline,2,0.0,0.0,0.0,0,0,2,1,3,3
Gail,020623.cha,other_adult,human,Human,baseline,2,,,,0,0,0,0,0,0
Gail,021105.cha,child,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,021105.cha,mother,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,021105.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,020828.cha,child,human,Human,baseline,5,,1.0,1.0,0,1,0,1,0,1
Gail,020828.cha,mother,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020828.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020904.cha,child,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020904.cha,mother,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020904.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020720.cha,child,human,Human,baseline,3,1.0,1.0,1.0,1,1,1,1,0,2
Gail,020720.cha,mother,human,Human,baseline,3,,0.0,0.0,0,0,0,1,1,1
Gail,020720.cha,other_adult,human,Human,baseline,3,,,,0,0,0,0,0,0
Gail,021029.cha,child,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,021029.cha,mother,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,021029.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,020929.cha,child,human,Human,baseline,5,,1.0,1.0,0,1,0,1,0,1
Gail,020929.cha,mother,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020929.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020925.cha,child,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020925.cha,mother,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020925.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Gail,020310.cha,child,human,Human,baseline,1,,0.0,0.0,0,0,0,1,1,1
Gail,020310.cha,mother,human,Human,baseline,1,0.0,0.0,0.0,0,0,1,1,2,2
Gail,020310.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Gail,021008.cha,child,human,Human,baseline,6,0.5,,0.5,1,0,2,0,1,2
Gail,021008.cha,mother,human,Human,baseline,6,0.0,,0.0,0,0,2,0,2,2
Gail,021008.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Gail,020317.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Gail,020317.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Gail,020317.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020620.cha,child,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020620.cha,mother,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020620.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020230.cha,child,human,Human,baseline,2,0.5,1.0,0.6666666666666666,1,1,2,1,1,3
Dominic,020230.cha,mother,human,Human,baseline,2,0.0,0.0,0.0,0,0,2,1,3,3
Dominic,020230.cha,other_adult,human,Human,baseline,2,,,,0,0,0,0,0,0
Dominic,020021.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020021.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020021.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020425.cha,child,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020425.cha,mother,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020425.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020800.cha,child,human,Human,baseline,6,0.0,,0.0,0,0,1,0,1,1
Dominic,020800.cha,mother,human,Human,baseline,6,0.0,,0.0,0,0,3,0,3,3
Dominic,020800.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Dominic,020829.cha,child,human,Human,baseline,6,0.0,,0.0,0,0,2,0,2,2
Dominic,020829.cha,mother,human,Human,baseline,6,0.0,1.0,0.25,0,1,3,1,3,4
Dominic,020829.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Dominic,020209.cha,child,human,Human,baseline,1,1.0,,1.0,1,0,1,0,0,1
Dominic,020209.cha,mother,human,Human,baseline,1,,1.0,1.0,0,1,0,1,0,1
Dominic,020209.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020508.cha,child,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020508.cha,mother,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020508.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020119.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020119.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020119.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020126.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020126.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020126.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020522.cha,child,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020522.cha,mother,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020522.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020724.cha,child,human,Human,baseline,6,0.25,,0.25,1,0,4,0,3,4
Dominic,020724.cha,mother,human,Human,baseline,6,0.25,1.0,0.4,1,1,4,1,3,5
Dominic,020724.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Dominic,021016.cha,child,human,Human,baseline,7,,1.0,1.0,0,1,0,1,0,1
Dominic,021016.cha,mother,human,Human,baseline,7,0.5,,0.5,1,0,2,0,1,2
Dominic,021016.cha,other_adult,human,Human,baseline,7,,,,0,0,0,0,0,0
Dominic,021002.cha,child,human,Human,baseline,7,0.3333333333333333,,0.3333333333333333,1,0,3,0,2,3
Dominic,021002.cha,mother,human,Human,baseline,7,0.75,,0.75,3,0,4,0,1,4
Dominic,021002.cha,other_adult,human,Human,baseline,7,,,,0,0,0,0,0,0
Dominic,011117.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011117.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011117.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011100.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011100.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011100.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020717.cha,child,human,Human,baseline,5,0.5,,0.5,1,0,2,0,1,2
Dominic,020717.cha,mother,human,Human,baseline,5,1.0,1.0,1.0,1,1,1,1,0,2
Dominic,020717.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Dominic,020703.cha,child,human,Human,baseline,5,,0.0,0.0,0,0,0,1,1,1
Dominic,020703.cha,mother,human,Human,baseline,5,1.0,,1.0,2,0,2,0,0,2
Dominic,020703.cha,other_adult,human,Human,baseline,5,,,,0,0,0,0,0,0
Dominic,020529.cha,child,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020529.cha,mother,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020529.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020501.cha,child,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020501.cha,mother,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020501.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020111.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020111.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020111.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011124.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011124.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011124.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020919.cha,child,human,Human,baseline,6,0.0,1.0,0.4,0,2,3,2,3,5
Dominic,020919.cha,mother,human,Human,baseline,6,0.4444444444444444,,0.4444444444444444,4,0,9,0,5,9
Dominic,020919.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Dominic,020926.cha,child,human,Human,baseline,6,0.0,,0.0,0,0,3,0,3,3
Dominic,020926.cha,mother,human,Human,baseline,6,0.0,0.0,0.0,0,0,3,1,4,4
Dominic,020926.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Dominic,020328.cha,child,human,Human,baseline,3,0.0,0.6666666666666666,0.4,0,2,2,3,3,5
Dominic,020328.cha,mother,human,Human,baseline,3,0.2,0.0,0.16666666666666666,1,0,5,1,5,6
Dominic,020328.cha,other_adult,human,Human,baseline,3,,,,0,0,0,0,0,0
Dominic,020314.cha,child,human,Human,baseline,2,,,,0,0,0,0,0,0
Dominic,020314.cha,mother,human,Human,baseline,2,,,,0,0,0,0,0,0
Dominic,020314.cha,other_adult,human,Human,baseline,2,,,,0,0,0,0,0,0
Dominic,020007.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020007.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020007.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,011025.cha,child,human,Human,baseline,1,0.0,0.0,0.0,0,0,1,1,2,2
Dominic,011025.cha,mother,human,Human,baseline,1,1.0,0.0,0.5,1,0,1,1,1,2
Dominic,011025.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020028.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020028.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020028.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020216.cha,child,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020216.cha,mother,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020216.cha,other_adult,human,Human,baseline,1,,,,0,0,0,0,0,0
Dominic,020404.cha,child,human,Human,baseline,3,,1.0,1.0,0,2,0,2,0,2
Dominic,020404.cha,mother,human,Human,baseline,3,,,,0,0,0,0,0,0
Dominic,020404.cha,other_adult,human,Human,baseline,3,,,,0,0,0,0,0,0
Dominic,020613.cha,child,human,Human,baseline,4,0.5,0.25,0.3333333333333333,1,1,2,4,4,6
Dominic,020613.cha,mother,human,Human,baseline,4,1.0,0.6666666666666666,0.75,1,2,1,3,1,4
Dominic,020613.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020411.cha,child,human,Human,baseline,4,0.0,,0.0,0,0,2,0,2,2
Dominic,020411.cha,mother,human,Human,baseline,4,1.0,1.0,1.0,1,1,1,1,0,2
Dominic,020411.cha,other_adult,human,Human,baseline,4,,,,0,0,0,0,0,0
Dominic,020822.cha,child,human,Human,baseline,6,0.2857142857142857,0.5,0.3333333333333333,2,1,7,2,6,9
Dominic,020822.cha,mother,human,Human,baseline,6,0.0,0.6666666666666666,0.2,0,2,7,3,8,10
Dominic,020822.cha,other_adult,human,Human,baseline,6,,,,0,0,0,0,0,0
Becky,020230.cha,child,human,Human,baseline,3,,,,0,0,0,0,0,0
Becky,020230.cha,mother,human,Human,baseline,3,,,,0,0,0,0,0,0
Becky,020230.cha,other_adult,human,Human,baseline,3,,,,0,0,0,0,0,0
Becky,021101.cha,child,human,Human,baseline,21,0.0,0.5,0.3333333333333333,0,1,1,2,2,3
Becky,021101.cha,mother,human,Human,baseline,21,1.0,1.0,1.0,2,1,2,1,0,3
Becky,021101.cha,other_adult,human,Human,baseline,21,,,,0,0,0,0,0,0
Becky,021115.cha,child,human,Human,baseline,22,,0.0,0.0,0,0,0,1,1,1
Becky,021115.cha,mother,human,Human,baseline,22,0.0,0.0,0.0,0,0,1,1,2,2
Becky,021115.cha,other_adult,human,Human,baseline,22,,,,0,0,0,0,0,0
Becky,020419.cha,child,human,Human,baseline,8,0.0,0.0,0.0,0,0,1,1,2,2
